log10(E (MeV)),log10(sigma (barn))
-7.554289414,2.82217798
-7.523867943,2.805824674
-7.511699367,2.798916185
-7.487362188,2.785805618
-7.469109317,2.775421412
-7.450856415,2.765576975
-7.426519227,2.751715596
-7.414350633,2.745137765
-7.383929166,2.727760259
-7.377844889,2.724453032
-7.341339104,2.703468887
-7.304833356,2.682533914
-7.301780554,2.680689398
-7.298749061,2.679034796
-7.26832759,2.661388449
-7.262243273,2.657688733
-7.256158997,2.654312759
-7.231821824,2.640039324
-7.222684709,2.634450393
-7.210516137,2.627552649
-7.195316028,2.618495774
-7.18314746,2.611015396
-7.167926061,2.602259644
-7.158810291,2.596778011
-7.143588889,2.587386901
-7.125335992,2.576750578
-7.122304501,2.574914121
-7.104051631,2.56363514
-7.085798769,2.55289833
-7.079714449,2.549231134
-7.067545874,2.541643184
-7.049293,2.530913829
-7.037124378,2.523505295
-7.031040083,2.519673128
-7.012787215,2.509002646
-6.994534346,2.49782558
-6.979312945,2.489077057
-6.958028565,2.4762733
-6.951944284,2.472883479
-6.94585999,2.469418605
-6.930638588,2.460615664
-6.924554299,2.456959399
-6.912385711,2.450331395
-6.906301414,2.446992329
-6.891101307,2.43832425
-6.88196422,2.433619697
-6.866764143,2.425676624
-6.857627055,2.420692639
-6.85154275,2.417787841
-6.827205575,2.405934822
-6.824174092,2.404648074
-6.821121269,2.403389805
-6.796784106,2.392895444
-6.785005822,2.388757978
-6.775499719,2.385436097
-6.769415421,2.383257726
-6.76105389,2.380972298
-6.745078267,2.376784734
-6.736716729,2.375341473
-6.732909675,2.374758468
-6.720741072,2.372854856
-6.715432337,2.372557969
-6.699435385,2.372013
-6.69412666,2.372284867
-6.690319625,2.37257278
-6.686379362,2.372873224
-6.672842279,2.37516692
-6.665073656,2.376689376
-6.656845337,2.379255434
-6.648505109,2.38190407
-6.647729547,2.382160115
-6.643789278,2.383465729
-6.616399318,2.395680949
-6.608946543,2.39927276
-6.599107298,2.403766612
-6.599055213,2.403790673
-6.593746445,2.406249726
-6.585977824,2.409558096
-6.581577851,2.410914432
-6.570191679,2.413888562
-6.5691171,2.414132867
-6.567376537,2.414257062
-6.56254942,2.414459722
-6.559824891,2.414575098
-6.557991558,2.414559179
-6.550687781,2.413209333
-6.545822972,2.412007894
-6.541572,2.410048162
-6.53365437,2.405853439
-6.532434884,2.404932377
-6.523319098,2.397395023
-6.521485797,2.3957584
-6.516906583,2.390686072
-6.514182028,2.387613966
-6.509317171,2.381827656
-6.502013432,2.371559067
-6.494095788,2.359757226
-6.479272248,2.334380114
-6.471591974,2.320231381
-6.471284998,2.319662006
-6.459423369,2.296737845
-6.454558556,2.286979228
-6.450307575,2.278736649
-6.441170504,2.26056906
-6.439337166,2.256864215
-6.432054687,2.242892007
-6.428694953,2.236366392
-6.424137078,2.227270484
-6.422917613,2.224996645
-6.413801822,2.207843072
-6.411968495,2.204349582
-6.404664715,2.191201632
-6.403207907,2.188568686
-6.399799906,2.182306259
-6.395548941,2.174989903
-6.38763131,2.161173497
-6.386411839,2.159174668
-6.386104884,2.158681521
-6.377296057,2.144129437
-6.375462713,2.141069607
-6.368158957,2.1297946
-6.360241329,2.117293554
-6.359043155,2.115561099
-6.349906077,2.102262342
-6.345041237,2.095042624
-6.343514843,2.092984979
-6.340790275,2.089269606
-6.3316532,2.076658867
-6.32981984,2.074105718
-6.31948459,2.060831133
-6.314619762,2.054478985
-6.307316014,2.0456635
-6.299398365,2.035953278
-6.295147411,2.031124314
-6.288756206,2.023834695
-6.284198281,2.018493082
-6.282978855,2.017201078
-6.270810232,2.004177168
-6.265945414,1.998868358
-6.255610148,1.988567469
-6.249197607,1.982077599
-6.247692542,1.980526125
-6.240388757,1.973752474
-6.229439652,1.963416351
-6.225188709,1.959761004
-6.212691845,1.948874784
-6.211186755,1.947523459
-6.20996732,1.946556724
-6.199394693,1.938167719
-6.1947672,1.934389288
-6.192933901,1.932904634
-6.179545816,1.923214218
-6.17468098,1.919648344
-6.167070297,1.914767669
-6.164345745,1.912985923
-6.156428109,1.90784162
-6.149124362,1.903769365
-6.138175245,1.897663367
-6.133924265,1.895735932
-6.127511712,1.892905886
-6.119922334,1.889477425
-6.118702887,1.88906555
-6.106534296,1.885122892
-6.104700966,1.884543462
-6.100950648,1.883819541
-6.091005964,1.882035958
-6.089500871,1.881761759
-6.088782049,1.881725213
-6.079644966,1.881476157
-6.077502466,1.881470063
-6.070529172,1.882434869
-6.065333887,1.883318696
-6.061392083,1.884679386
-6.054500203,1.887333876
-6.053165293,1.887851048
-6.052276294,1.888362971
-6.046191999,1.89210875
-6.044028201,1.893525121
-6.040107696,1.896879252
-6.034912413,1.901556825
-6.034023403,1.902577559
-6.027939105,1.909871612
-6.025775335,1.912578499
-6.023367924,1.916188595
-6.021047223,1.919786665
-6.019691018,1.921884443
-6.018802024,1.923471839
-6.014241442,1.931863792
-6.013606727,1.93307324
-6.009686244,1.941603743
-6.007522444,1.946461344
-6.005115044,1.952620812
-6.001438144,1.962298171
-6.000549129,1.964959407
-5.997517654,1.974245218
-5.99535387,1.980982064
-5.994464815,1.984066212
-5.991433338,1.994759406
-5.990793262,1.997062395
-5.988380531,2.006514971
-5.98623806,2.015033178
-5.985349033,2.018864938
-5.983391613,2.027460973
-5.982296252,2.03222378
-5.98166686,2.035029839
-5.981488664,2.035889095
