log10(E (MeV)),log10(sigma (barn))
-5.036333435,1.082418829
-5.035516924,1.080083135
-5.035276344,1.079950026
-5.034627434,1.081035087
-5.034003499,1.084115717
-5.033069275,1.091937437
-5.031397438,1.109354829
-5.030444984,1.116699574
-5.029637064,1.119909215
-5.029162503,1.120453826
-5.028451632,1.119653437
-5.027505609,1.116364963
-5.023552533,1.096020118
-5.02135955,1.086788396
-5.018090743,1.075959127
-5.015115801,1.068729058
-5.011946991,1.064342699
-5.007580913,1.059781079
-5.004413815,1.053371205
-5.000435061,1.042618743
-4.996534539,1.030130973
-4.995308718,1.028684244
-4.99424919,1.030402039
-4.992948645,1.036201895
-4.991166743,1.045421095
-4.989955996,1.048588615
-4.989351865,1.048914221
-4.987945539,1.047303962
-4.982838579,1.035699837
-4.974693102,1.021163241
-4.967405533,1.009402789
-4.961774136,1.000332412
-4.956214862,0.988011553
-4.952502146,0.97753659
-4.948753055,0.963686889
-4.946384002,0.951991383
-4.944699677,0.9413429
-4.943021889,0.927668209
-4.941750197,0.914167923
-4.940798901,0.901527792
-4.938462412,0.86269643
-4.938001942,0.857467288
-4.937695218,0.856087606
-4.937388714,0.857203275
-4.937110265,0.861018567
-4.936901546,0.865972228
-4.936646571,0.874776968
-4.936461224,0.883216922
-4.936275956,0.893428564
-4.936090804,0.905406243
-4.935905694,0.91908997
-4.935720666,0.934363597
-4.935535714,0.951060677
-4.93535084,0.968969413
-4.935087569,0.996094295
-4.934824423,1.024392395
-4.934464587,1.063539197
-4.933635374,1.146114045
-4.933267322,1.175763938
-4.93295473,1.196474836
-4.932761763,1.207058579
-4.932513815,1.218127066
-4.932238477,1.227081563
-4.931963309,1.232606467
-4.931688319,1.234877376
-4.931596671,1.234952195
-4.931321909,1.233279757
-4.931047324,1.229019711
-4.930681455,1.219946479
-4.93031593,1.207848392
-4.929080115,1.156478459
-4.928592932,1.136206686
-4.928106296,1.117614418
-4.927620172,1.101096244
-4.927134628,1.086672339
-4.926811266,1.078124227
-4.926165157,1.063197081
-4.925520045,1.050558078
-4.924554172,1.034560761
-4.923718808,1.022573194
-4.922180834,1.002951834
-4.917346144,0.942905197
-4.914320159,0.896245434
-4.913817868,0.889318906
-4.913316153,0.884461673
-4.912940274,0.883266473
-4.912658535,0.884466999
-4.912345738,0.888669133
-4.912111303,0.89430659
-4.911876962,0.902496009
-4.911642782,0.913596068
-4.911478914,0.923263867
-4.911307311,0.935169019
-4.911135776,0.948948754
-4.910964308,0.964620591
-4.910812402,0.980073035
-4.910613785,1.002407126
-4.910415297,1.02698077
-4.910216897,1.053536978
-4.910018587,1.081758217
-4.909820367,1.111279657
-4.909618337,1.14231496
-4.909416401,1.173869555
-4.909214559,1.205524443
-4.908925955,1.250199212
