log10(E (MeV)),log10(sigma (barn))
-5.641602546,0.501518796
-5.638560437,0.487354479
-5.635518237,0.475182586
-5.632476101,0.464713642
-5.627910213,0.451702484
-5.623349633,0.441467012
-5.618794435,0.433631285
-5.61422322,0.427924888
-5.610361876,0.424707231
-5.606071235,0.422870088
-5.604124918,0.422668288
-5.598885659,0.42428873
-5.594793569,0.42809428
-5.590739679,0.434613449
-5.588057995,0.440802698
-5.585392731,0.448793479
-5.582743722,0.458956014
-5.580110773,0.471746602
-5.578146524,0.483378871
-5.57619108,0.497009446
-5.574244401,0.512822559
-5.572306407,0.530894142
-5.570377025,0.551091191
-5.568456176,0.572956943
-5.563880552,0.626110017
-5.562101476,0.6437621
-5.560429973,0.656899326
-5.558977374,0.664846384
-5.557729017,0.668778003
-5.556538649,0.669951955
-5.555212042,0.668398591
-5.553572982,0.662777374
-5.552524767,0.657435073
-5.550435897,0.644124031
-5.547382144,0.622912582
-5.545560181,0.611848057
-5.543745795,0.603302683
-5.541938958,0.59781789
-5.540379076,0.595714086
-5.540019922,0.59558186
-5.538496743,0.596485044
-5.53697885,0.599720236
-5.535377466,0.605620469
-5.533605077,0.615090392
-5.531839855,0.627586635
-5.530207181,0.641905811
-5.528643084,0.658185557
-5.527084599,0.677005093
-5.525927711,0.692730798
-5.524773897,0.709975117
-5.523623103,0.728794915
-5.522475388,0.749248272
-5.521330697,0.771390718
-5.520189014,0.795268378
-5.519050326,0.820910141
-5.518198231,0.841301269
-5.517347837,0.862671763
-5.516499107,0.884990668
-5.515652031,0.908205855
-5.514806603,0.932240015
-5.513962786,0.956986286
-5.512868312,0.989986791
-5.511804548,1.022688787
-5.510743383,1.055463003
-5.509156482,1.103524349
-5.506938953,1.164926994
-5.505834437,1.19117951
-5.504732722,1.213422866
-5.503974154,1.226073329
-5.503151135,1.237070934
-5.502450044,1.244046525
-5.501758303,1.248668905
-5.501075803,1.250965651
-5.500734986,1.251259721
-5.500101741,1.250292745
-5.499469416,1.247375443
-5.498641305,1.240665394
-5.497828322,1.231013673
-5.497016857,1.218539943
-5.496206907,1.203498388
-5.495263871,1.183102159
-5.492046027,1.097214815
-5.490978698,1.065859582
-5.489913988,1.034473759
-5.488851849,1.003730805
-5.487792333,0.97418979
-5.48699939,0.953091166
-5.48620789,0.933060174
-5.485417832,0.91420523
-5.484629175,0.896605023
-5.483579899,0.875178507
-5.482533153,0.856143497
-5.481488921,0.839519338
-5.480447196,0.82529055
-5.479407932,0.813419249
-5.478371179,0.803855309
-5.477336897,0.796543113
-5.476305072,0.791427397
-5.475275661,0.78845672
-5.474351301,0.787580119
-5.473326535,0.788569378
-5.472304183,0.79159922
-5.471284231,0.796653762
-5.470266638,0.803728465
-5.469251456,0.812831501
-5.468238641,0.823983867
-5.467228181,0.837220458
-5.466220037,0.852590627
-5.465071961,0.872830159
-5.464308239,0.887974153
-5.463545889,0.90448855
-5.462862302,0.920529348
-5.461954842,0.943704687
-5.461049275,0.969079297
-5.46044663,0.987273927
-5.459844791,1.00653347
-5.459243815,1.026895992
-5.458643669,1.04840012
-5.458044321,1.071084419
-5.457445829,1.094985479
-5.456848131,1.120136225
-5.456251284,1.146563167
-5.455655227,1.174283355
-5.455060016,1.203300103
-5.45446562,1.233598549
-5.454020341,1.257141613
-5.453575519,1.281358262
-5.453131151,1.306212139
-5.452687238,1.331655095
-5.452243778,1.35762696
-5.4518008,1.384054467
-5.451358243,1.410851369
-5.450916138,1.437917956
-5.450327383,1.474230094
-5.449739395,1.510521351
-5.449152232,1.54646072
-5.448565832,1.581692542
-5.447687758,1.632398643
-5.446111632,1.713512207
-5.445296637,1.748532635
-5.444599279,1.773863485
-5.444019018,1.79132611
-5.443465577,1.804699209
-5.44293888,1.814301946
-5.442450363,1.820389585
-5.441965287,1.823688142
