log10(E (MeV)),log10(sigma (barn))
-5.899187978,1.469793013
-5.897319393,1.448345659
-5.895551,1.430352612
-5.893789783,1.414920077
-5.892210783,1.40332768
-5.890637503,1.393900898
-5.889011921,1.386264223
-5.887046155,1.379482826
-5.88387352,1.37232507
-5.879270922,1.363542299
-5.875884427,1.354113551
-5.872524136,1.341405597
-5.864783116,1.30610147
-5.860420847,1.287096324
-5.856101956,1.270479434
-5.851825595,1.256254925
-5.847590932,1.244107676
-5.841315366,1.229001974
-5.835231063,1.216919389
-5.829146803,1.206721525
-5.820009681,1.193943418
-5.810893899,1.183299175
-5.798725312,1.171172368
-5.783503927,1.158064597
-5.765251051,1.144281965
-5.750050948,1.134419091
-5.737882377,1.128500075
-5.729060826,1.126747104
-5.723581044,1.128015763
-5.719096497,1.131718662
-5.716145254,1.136434917
-5.713565987,1.142974931
-5.711570403,1.150361651
-5.709867182,1.158964146
-5.708170615,1.170409086
-5.707043239,1.180051545
-5.705918784,1.191639419
-5.704797233,1.205449411
-5.703678571,1.221697311
-5.702562783,1.240474963
-5.701449855,1.261680424
-5.700339771,1.284959484
-5.699232515,1.309676532
-5.69702644,1.359617161
-5.695379234,1.392933904
-5.694475874,1.408100069
-5.693765514,1.417969012
-5.692865501,1.427456701
-5.692097939,1.432616055
-5.691320845,1.434908463
-5.691092864,1.435006539
-5.690278285,1.433209449
-5.689500384,1.428390499
-5.688960025,1.42331429
-5.68809692,1.412435144
-5.687235475,1.398487309
-5.686161092,1.377446736
-5.683486677,1.314260564
-5.682421516,1.287797163
-5.681358962,1.262212589
-5.680299,1.238270247
-5.67924162,1.216472018
-5.678186807,1.197063081
-5.677134551,1.180071485
-5.676084835,1.165367532
-5.675037653,1.152726516
-5.67399299,1.141882097
-5.672430716,1.128400044
-5.670873993,1.117546969
-5.668703979,1.105563625
-5.667057818,1.098248736
-5.664005016,1.08743466
-5.660973568,1.079062052
-5.656402359,1.069127852
-5.65183645,1.061129541
-5.642720659,1.048046797
-5.621414962,1.02136323
-5.609709104,1.004729075
-5.601359524,0.989785999
-5.595881045,0.977391906
-5.590470776,0.961912826
-5.586456851,0.9474298
-5.582479723,0.92969796
-5.579848369,0.915809715
-5.573338943,0.876300418
-5.571404978,0.866002975
-5.570120435,0.861046496
-5.568775728,0.858520054
-5.568424246,0.858443291
-5.567371461,0.859984017
-5.566384817,0.864206197
-5.5655273,0.870365859
-5.564671471,0.879012627
-5.563754105,0.89114664
-5.562807155,0.906735475
-5.561862302,0.925169504
-5.560825287,0.948240534
-5.559884693,0.971164477
-5.558852384,0.99776197
-5.557729017,1.027461572
-5.555367009,1.088187421
-5.553542127,1.129991506
-5.551786372,1.164206182
-5.550619813,1.183477857
-5.54945638,1.200055214
-5.548235054,1.214862782
-5.547017154,1.227314164
-5.545196683,1.242430952
-5.543444134,1.25405717
-5.540019922,1.272188555
-5.535495914,1.294367165
-5.533257171,1.306836265
-5.531029908,1.321121874
-5.528820097,1.337692021
-5.527170095,1.351930438
-5.525465818,1.368569968
-5.523738043,1.38769522
-5.52201715,1.409260612
-5.520873663,1.42509948
-5.519733181,1.442169381
-5.518595651,1.46050444
-5.517461126,1.480112211
-5.516329559,1.500961747
-5.515200932,1.522968826
-5.514075229,1.545979974
-5.512952404,1.569756236
-5.511441227,1.602452536
-5.507824593,1.676738289
-5.506717824,1.695716281
-5.50561387,1.711591318
-5.504787743,1.721038707
-5.504105988,1.727044226
-5.503480155,1.731003806
-5.502679949,1.733752157
-5.502280429,1.734108247
-5.501444219,1.732585772
-5.500571482,1.727659769
-5.499863673,1.721152032
-5.499048367,1.710916071
-5.498234623,1.697886226
-5.4974224,1.682255956
-5.496341794,1.65780978
-5.493115983,1.567180178
-5.492046027,1.534146866
-5.490978698,1.501166083
-5.490179921,1.476932455
-5.489382577,1.453443503
-5.488586728,1.430933632
-5.487792333,1.409590791
-5.48699939,1.389556561
-5.48620789,1.37092942
-5.485417832,1.353769211
-5.484629175,1.338102878
-5.483579899,1.319534893
-5.482533153,1.303563691
-5.481488921,1.29008826
-5.480447196,1.278981477
-5.479407932,1.270104326
-5.478371179,1.26331668
-5.477336897,1.258484223
-5.475996001,1.25492353
-5.475172856,1.254167196
-5.473633711,1.255506671
-5.4721,1.260240491
-5.470571657,1.268199063
-5.469048703,1.279290879
-5.467531072,1.293501087
-5.466179871,1.308880128
-5.46491325,1.325739711
-5.463650284,1.345048329
-5.462741177,1.360593641
-5.461834001,1.377573886
-5.460928685,1.396076367
-5.460025252,1.416199616
-5.459123725,1.438052166
-5.458224035,1.461749517
-5.457326206,1.48740836
-5.456430258,1.515137037
-5.455833955,1.534816399
-5.4552385,1.555469619
-5.454643859,1.577099701
-5.454050002,1.599692836
-5.453456986,1.623214339
-5.452864749,1.647603192
-5.452273348,1.672767882
-5.451682721,1.698582197
-5.451092926,1.724882458
-5.450503902,1.751465895
-5.449621905,1.791335329
-5.448448659,1.842952097
-5.446986551,1.901241736
-5.446053385,1.932561188
-5.445354812,1.951965839
-5.444831616,1.963854633
-5.444251047,1.974108957
-5.443671223,1.98101367
-5.44323687,1.983866291
-5.442802979,1.984642528
-5.442340591,1.983114709
-5.441821041,1.978422869
-5.441302084,1.970535428
-5.440870092,1.961505856
-5.440438531,1.950246775
-5.439935592,1.93431945
-5.439289801,1.909513448
-5.438644996,1.880010966
-5.437731323,1.830579348
-5.436332792,1.739590254
-5.435625161,1.687674341
-5.435154046,1.651359979
-5.434683442,1.613931567
-5.434190047,1.573688306
-5.433697213,1.532710489
-5.433327953,1.501644261
-5.432959036,1.470405816
-5.432549473,1.43561224
-5.432222083,1.407795315
-5.431894969,1.3800599
-5.431568072,1.352462075
-5.43124145,1.325053395
-5.430915044,1.297880697
-5.430588912,1.27098611
-5.430262996,1.24440692
-5.429917821,1.216613562
-5.429605439,1.191807442
-5.429205507,1.160566154
-5.42880597,1.129966586
-5.428377591,1.09787391
-5.428053358,1.074091463
-5.427567434,1.039295673
-5.427243778,1.01669312
-5.42682341,0.988029946
-5.426403447,0.960187942
-5.425983891,0.933172791
-5.42556474,0.906989008
-5.425081591,0.877814572
-5.424598979,0.849756644
-5.424116904,0.822818772
-5.42363539,0.79700349
-5.423154381,0.772311436
-5.422673905,0.748740858
-5.422193988,0.726286743
-5.421714572,0.70494054
-5.421235685,0.684689472
-5.420757353,0.665516546
-5.420120369,0.641592286
-5.419484317,0.619484646
-5.418849195,0.599120861
-5.418215001,0.580418916
-5.417581732,0.563290357
-5.416949384,0.547643044
-5.416317956,0.533382696
-5.415372546,0.514388349
-5.414429162,0.497997197
-5.413487851,0.483919487
-5.412548574,0.471887284
-5.411611298,0.461656669
-5.410364752,0.45044188
-5.409121774,0.441584388
-5.407882371,0.434693107
-5.406029832,0.427332066
-5.404492078,0.423355171
-5.402653914,0.420554596
-5.399997399,0.419273387
-5.396191416,0.421134339
-5.39162554,0.426489302
-5.379456955,0.44574801
-5.364256831,0.470795804
-5.358172554,0.481891168
-5.352088246,0.495012313
-5.347517047,0.507286465
-5.34447487,0.517278393
-5.341432763,0.529392878
-5.33915447,0.540382038
-5.33686688,0.553685366
-5.335348488,0.564173032
-5.333835385,0.576342041
-5.332624314,0.587645199
-5.331416654,0.600673576
-5.330212298,0.615890529
-5.32931123,0.629123543
-5.328490952,0.642904725
-5.327711549,0.657899038
-5.326933586,0.675170087
-5.326415702,0.688227373
-5.325898435,0.702760354
